1.2464 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.1115 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.4971 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.4990 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f7b39993c10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f7b0426b940>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4996 	EXP 	window1: mouseVisible = True
7.5017 	EXP 	window1: mouseVisible = False
7.5018 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.5018 	EXP 	window1: recordFrameIntervals = False
7.5802 	EXP 	window1: recordFrameIntervals = True
8.4140 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.4072 	EXP 	Created first_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='checkerboard1.jpg', interpolate=True, mask=None, maskParams=None, name='first_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.4215 	EXP 	Created secondimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='checkerboard2.jpg', interpolate=True, mask=None, maskParams=None, name='secondimage', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
10.4235 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
10.4238 	EXP 	New trial (rep=0, index=0): None
10.4337 	WARNING 	t of last frame was 2020.07ms (=1/0)
10.4337 	EXP 	first_image: autoDraw = True
10.9287 	EXP 	first_image: autoDraw = False
10.9287 	EXP 	first_image: autoDraw = False
10.9287 	EXP 	secondimage: autoDraw = True
11.2464 	WARNING 	t of last frame was 22.01ms (=1/45)
11.4134 	EXP 	New trial (rep=1, index=0): None
11.4194 	EXP 	secondimage: autoDraw = False
11.4194 	EXP 	secondimage: autoDraw = False
11.4194 	EXP 	first_image: autoDraw = True
11.9127 	EXP 	first_image: autoDraw = False
11.9127 	EXP 	first_image: autoDraw = False
11.9127 	EXP 	secondimage: autoDraw = True
12.3980 	EXP 	New trial (rep=2, index=0): None
12.4051 	EXP 	secondimage: autoDraw = False
12.4051 	EXP 	secondimage: autoDraw = False
12.4051 	EXP 	first_image: autoDraw = True
12.9043 	EXP 	first_image: autoDraw = False
12.9043 	EXP 	first_image: autoDraw = False
12.9043 	EXP 	secondimage: autoDraw = True
13.3882 	EXP 	New trial (rep=3, index=0): None
13.3961 	EXP 	secondimage: autoDraw = False
13.3961 	EXP 	secondimage: autoDraw = False
13.3961 	EXP 	first_image: autoDraw = True
13.8875 	EXP 	first_image: autoDraw = False
13.8875 	EXP 	first_image: autoDraw = False
13.8875 	EXP 	secondimage: autoDraw = True
14.3710 	EXP 	New trial (rep=4, index=0): None
14.3794 	EXP 	secondimage: autoDraw = False
14.3794 	EXP 	secondimage: autoDraw = False
14.3794 	EXP 	first_image: autoDraw = True
14.8709 	EXP 	first_image: autoDraw = False
14.8709 	EXP 	first_image: autoDraw = False
14.8709 	EXP 	secondimage: autoDraw = True
15.3648 	EXP 	New trial (rep=5, index=0): None
15.3712 	EXP 	secondimage: autoDraw = False
15.3712 	EXP 	secondimage: autoDraw = False
15.3712 	EXP 	first_image: autoDraw = True
15.4460 	WARNING 	t of last frame was 20.92ms (=1/47)
15.8749 	EXP 	first_image: autoDraw = False
15.8749 	EXP 	first_image: autoDraw = False
15.8749 	EXP 	secondimage: autoDraw = True
16.3638 	EXP 	New trial (rep=6, index=0): None
16.3697 	EXP 	secondimage: autoDraw = False
16.3697 	EXP 	secondimage: autoDraw = False
16.3697 	EXP 	first_image: autoDraw = True
16.8630 	EXP 	first_image: autoDraw = False
16.8630 	EXP 	first_image: autoDraw = False
16.8630 	EXP 	secondimage: autoDraw = True
17.3478 	EXP 	New trial (rep=7, index=0): None
17.3541 	EXP 	secondimage: autoDraw = False
17.3541 	EXP 	secondimage: autoDraw = False
17.3541 	EXP 	first_image: autoDraw = True
17.8552 	EXP 	first_image: autoDraw = False
17.8552 	EXP 	first_image: autoDraw = False
17.8552 	EXP 	secondimage: autoDraw = True
18.3479 	EXP 	New trial (rep=8, index=0): None
18.3547 	EXP 	secondimage: autoDraw = False
18.3547 	EXP 	secondimage: autoDraw = False
18.3547 	EXP 	first_image: autoDraw = True
18.4293 	WARNING 	t of last frame was 20.73ms (=1/48)
18.8547 	EXP 	first_image: autoDraw = False
18.8547 	EXP 	first_image: autoDraw = False
18.8547 	EXP 	secondimage: autoDraw = True
19.3480 	EXP 	New trial (rep=9, index=0): None
19.3549 	EXP 	secondimage: autoDraw = False
19.3549 	EXP 	secondimage: autoDraw = False
19.3549 	EXP 	first_image: autoDraw = True
19.8541 	EXP 	first_image: autoDraw = False
19.8541 	EXP 	first_image: autoDraw = False
19.8541 	EXP 	secondimage: autoDraw = True
20.3378 	EXP 	New trial (rep=10, index=0): None
20.3462 	EXP 	secondimage: autoDraw = False
20.3462 	EXP 	secondimage: autoDraw = False
20.3462 	EXP 	first_image: autoDraw = True
20.8369 	EXP 	first_image: autoDraw = False
20.8369 	EXP 	first_image: autoDraw = False
20.8369 	EXP 	secondimage: autoDraw = True
21.3225 	EXP 	New trial (rep=11, index=0): None
21.3290 	EXP 	secondimage: autoDraw = False
21.3290 	EXP 	secondimage: autoDraw = False
21.3290 	EXP 	first_image: autoDraw = True
21.8205 	EXP 	first_image: autoDraw = False
21.8205 	EXP 	first_image: autoDraw = False
21.8205 	EXP 	secondimage: autoDraw = True
22.3046 	EXP 	New trial (rep=12, index=0): None
22.3132 	EXP 	secondimage: autoDraw = False
22.3132 	EXP 	secondimage: autoDraw = False
22.3132 	EXP 	first_image: autoDraw = True
22.8050 	EXP 	first_image: autoDraw = False
22.8050 	EXP 	first_image: autoDraw = False
22.8050 	EXP 	secondimage: autoDraw = True
23.2980 	EXP 	New trial (rep=13, index=0): None
23.3048 	EXP 	secondimage: autoDraw = False
23.3048 	EXP 	secondimage: autoDraw = False
23.3048 	EXP 	first_image: autoDraw = True
23.8042 	EXP 	first_image: autoDraw = False
23.8042 	EXP 	first_image: autoDraw = False
23.8042 	EXP 	secondimage: autoDraw = True
24.2877 	EXP 	New trial (rep=14, index=0): None
24.2962 	EXP 	secondimage: autoDraw = False
24.2962 	EXP 	secondimage: autoDraw = False
24.2962 	EXP 	first_image: autoDraw = True
