1.1014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.7298 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
5.9969 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

5.9980 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9a98607c70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9a570238b0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9986 	EXP 	window1: mouseVisible = True
6.0015 	EXP 	window1: mouseVisible = False
6.0016 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.0016 	EXP 	window1: recordFrameIntervals = False
6.0800 	EXP 	window1: recordFrameIntervals = True
6.9134 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.8954 	EXP 	Created first_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='checkerboard1.jpg', interpolate=True, mask=None, maskParams=None, name='first_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
8.9114 	EXP 	Created secondimage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='checkerboard2.jpg', interpolate=True, mask=None, maskParams=None, name='secondimage', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
8.9127 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
8.9131 	EXP 	New trial (rep=0, index=0): None
8.9231 	WARNING 	t of last frame was 2010.02ms (=1/0)
8.9231 	EXP 	first_image: autoDraw = True
8.9629 	WARNING 	t of last frame was 20.54ms (=1/48)
9.0861 	EXP 	first_image: autoDraw = False
9.0861 	EXP 	first_image: autoDraw = False
9.0861 	EXP 	secondimage: autoDraw = True
9.2376 	EXP 	New trial (rep=1, index=0): None
9.2456 	EXP 	secondimage: autoDraw = False
9.2456 	EXP 	secondimage: autoDraw = False
9.2456 	EXP 	first_image: autoDraw = True
9.4037 	EXP 	first_image: autoDraw = False
9.4037 	EXP 	first_image: autoDraw = False
9.4037 	EXP 	secondimage: autoDraw = True
9.5558 	EXP 	New trial (rep=2, index=0): None
9.5627 	EXP 	secondimage: autoDraw = False
9.5627 	EXP 	secondimage: autoDraw = False
9.5627 	EXP 	first_image: autoDraw = True
9.7203 	EXP 	first_image: autoDraw = False
9.7203 	EXP 	first_image: autoDraw = False
9.7203 	EXP 	secondimage: autoDraw = True
9.8714 	EXP 	New trial (rep=3, index=0): None
9.8786 	EXP 	secondimage: autoDraw = False
9.8786 	EXP 	secondimage: autoDraw = False
9.8786 	EXP 	first_image: autoDraw = True
