color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
gray,2,0,0,0,4,9.231381958001293,9.475851750001311,10.971600874996511,,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
gray,2,0,1,1,7,10.971600874996511,11.20977300000959,12.70490404200973,11.20977300000959,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
white,1,0,2,2,0,12.709339416993316,12.960722874995554,14.45493050001096,12.95519691699883,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
white,1,0,3,3,2,14.459708167007193,14.709360333014047,16.204980458016507,14.705006250005681,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
white,1,0,4,4,1,16.209468042012304,16.4592566670035,17.95489720799378,16.45493229199201,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
gray,2,0,5,5,6,17.958974375011167,18.209293082996737,19.704850458016153,18.20491516700713,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
gray,2,0,6,6,5,19.709449417016003,19.95932287501637,21.454888000007486,19.954955916997278,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
white,1,0,7,7,3,21.459387583017815,21.710827250004513,23.21115554199787,21.705209625011776,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
gray,2,1,0,8,7,23.21115554199787,23.461071541998535,24.962219708017074,23.461071541998535,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
gray,2,1,1,9,5,24.962219708017074,25.21103629199206,26.712758917012252,25.21103629199206,041564,001,2023-02-09_13h38.28.824,simple VEP,2022.2.4,None,
,,,,,,26.712758917012252,26.960509166994598,,26.960509166994598,,,,,,,
